index,split,label,activity,source_activity,session_id,source_csv,start_frame,end_frame,label_source,event_phase,include_in_training,overlap_seconds,overlap_fraction,window_start_s,window_end_s,exclude_reason,annotation_confidence,quality_flags,method_version
0,train,3,fall,fall,fall__falling_20260714_160429_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160429_20hz.csv,15,44,event_metadata,fall_event,True,0.949999988079071,0.6333333253860474,0.75,2.25,,high,none,auto_event_heuristic_v1
1,train,3,fall,fall,fall__falling_20260714_160429_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160429_20hz.csv,30,59,event_metadata,fall_event,True,1.5,1.0,1.5,3.0,,high,none,auto_event_heuristic_v1
2,train,3,fall,fall,fall__falling_20260714_160429_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160429_20hz.csv,45,74,event_metadata,fall_event,True,1.149999976158142,0.7666666507720947,2.25,3.75,,high,none,auto_event_heuristic_v1
7,train,3,fall,fall,fall__falling_20260714_160558_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160558_20hz.csv,0,29,event_metadata,fall_event,True,0.8500000238418579,0.5666666626930237,0.0,1.5,,medium,event_near_recording_boundary,auto_event_heuristic_v1
8,train,3,fall,fall,fall__falling_20260714_160643_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160643_20hz.csv,0,29,event_metadata,fall_event,True,0.8999999761581421,0.6000000238418579,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
9,train,3,fall,fall,fall__falling_20260714_160643_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160643_20hz.csv,15,44,event_metadata,fall_event,True,1.2000000476837158,0.800000011920929,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
10,train,1,standing,fall,fall__falling_20260714_160712_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160712_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1
18,train,1,standing,fall,fall__falling_20260714_161012_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161012_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
19,train,1,standing,fall,fall__falling_20260714_161012_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161012_20hz.csv,15,44,event_metadata,pre_event,True,0.0,0.0,0.75,2.25,,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
20,train,1,standing,fall,fall__falling_20260714_161012_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161012_20hz.csv,30,59,event_metadata,pre_event,True,0.0,0.0,1.5,3.0,,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
21,train,3,fall,fall,fall__falling_20260714_161118_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161118_20hz.csv,0,29,event_metadata,fall_event,True,0.949999988079071,0.6333333253860474,0.0,1.5,,high,none,auto_event_heuristic_v1
22,train,3,fall,fall,fall__falling_20260714_161118_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161118_20hz.csv,15,44,event_metadata,fall_event,True,0.800000011920929,0.5333333611488342,0.75,2.25,,high,none,auto_event_heuristic_v1
23,train,3,fall,fall,fall__falling_20260714_161242_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161242_20hz.csv,0,29,event_metadata,fall_event,True,1.350000023841858,0.8999999761581421,0.0,1.5,,medium,event_near_recording_boundary,auto_event_heuristic_v1
