session_id,activity,start_state,event_start_s,impact_s,event_end_s,end_state,distance_m_inferred,distance_band_inferred,direction_inferred,confidence,auto_include_in_training,quality_flags,method_version,method_summary
falling_20260714_160429_20hz,fall,standing,1.3,2.9,3.4,lying,2.178,middle,forward,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_160514_20hz,fall,standing,1.5,2.6,3.7,lying,2.26,middle,forward,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_160558_20hz,fall,standing,0.0,0.35,0.85,lying,2.233,middle,unknown,medium,True,event_near_recording_boundary,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_160643_20hz,fall,standing,0.6,1.1,1.95,lying,2.312,middle,forward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_160712_20hz,fall,standing,1.7,2.8,3.9,lying,1.952,near,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_160746_20hz,fall,standing,1.95,3.05,4.15,lying,2.04,middle,forward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_160910_20hz,fall,standing,2.9,3.4,4.0,unknown,2.383,middle,right,medium,True,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161012_20hz,fall,standing,3.45,4.55,4.65,unknown,2.561,middle,left,medium,True,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161059_20hz,fall,standing,0.0,0.35,1.1,lying,2.494,middle,forward,low,False,event_near_recording_boundary;geometry_edge_warning;high_cleaning_drop=57.0%;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161118_20hz,fall,standing,0.55,1.05,1.55,lying,2.64,middle,right,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161242_20hz,fall,standing,0.15,1.35,1.85,lying,2.198,middle,forward,medium,True,event_near_recording_boundary,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161320_20hz,fall,standing,2.85,3.35,3.85,lying,2.243,middle,left,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161412_20hz,fall,standing,2.6,3.1,3.6,lying,2.277,middle,backward,medium,True,multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161434_20hz,fall,standing,2.85,4.0,4.5,lying,2.423,middle,forward,medium,True,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161551_20hz,fall,standing,2.2,3.1,3.6,lying,1.785,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
