source_session_id,canonical_label,canonical_label_id,source_activity,outer_fold,split_protocol,source_csv,session_window_count,walking_windows,standing_windows,sitting_windows,fall_windows
falling_20260714_160429_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160429_20hz.csv,3,0,0,0,3
falling_20260714_160514_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160514_20hz.csv,4,0,1,0,3
falling_20260714_160558_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160558_20hz.csv,1,0,0,0,1
falling_20260714_160643_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160643_20hz.csv,2,0,0,0,2
falling_20260714_160712_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160712_20hz.csv,1,0,1,0,0
falling_20260714_160746_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160746_20hz.csv,4,0,1,0,3
falling_20260714_160910_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160910_20hz.csv,3,0,2,0,1
falling_20260714_161012_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161012_20hz.csv,3,0,3,0,0
falling_20260714_161118_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161118_20hz.csv,2,0,0,0,2
falling_20260714_161242_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161242_20hz.csv,2,0,0,0,2
falling_20260714_161320_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161320_20hz.csv,4,0,2,0,2
falling_20260714_161412_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161412_20hz.csv,3,0,2,0,1
falling_20260714_161434_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161434_20hz.csv,2,0,2,0,0
