source_session_id,source_csv,activity,label,outer_fold,clip_length_frames,clip_start_row,clip_end_row_exclusive,clip_start_s,clip_end_s,event_start_s,impact_s,event_end_s,pre_event_context_s,requested_post_impact_s,physical_post_impact_s,padding_left_frames,padding_right_frames,valid_frames,annotation_confidence,quality_flags,sampling_rule
falling_20260714_160429_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160429_20hz.csv,fall,3,1,60,18,78,0.9,3.9,1.3,2.9,3.4,0.4,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260714_160514_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160514_20hz.csv,fall,3,2,60,12,72,0.6,3.6,1.5,2.6,3.7,0.9,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260714_160558_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160558_20hz.csv,fall,3,3,60,-33,27,-1.65,1.35,0.0,0.35,0.85,1.65,1.0,1.0,33,0,27,medium,event_near_recording_boundary,impact_plus_1s
falling_20260714_160643_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160643_20hz.csv,fall,3,4,60,-18,42,-0.9,2.1,0.6,1.1,1.95,1.5,1.0,1.0,18,0,42,medium,geometry_edge_warning,impact_plus_1s
falling_20260714_160712_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160712_20hz.csv,fall,3,1,60,16,76,0.8,3.8,1.7,2.8,3.9,0.8999999999999999,1.0,1.0,0,0,60,medium,event_near_recording_boundary;geometry_edge_warning,impact_plus_1s
falling_20260714_160746_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160746_20hz.csv,fall,3,2,60,21,81,1.05,4.05,1.95,3.05,4.15,0.8999999999999999,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260714_160910_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160910_20hz.csv,fall,3,3,60,28,88,1.4,4.4,2.9,3.4,4.0,1.5,1.0,0.6499999999999999,0,7,53,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260714_161012_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161012_20hz.csv,fall,3,2,60,51,111,2.55,5.55,3.45,4.55,4.65,0.9000000000000004,1.0,0.15000000000000036,0,17,43,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260714_161118_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161118_20hz.csv,fall,3,4,60,-19,41,-0.95,2.05,0.55,1.05,1.55,1.5,1.0,1.0,19,0,41,high,none,impact_plus_1s
falling_20260714_161242_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161242_20hz.csv,fall,3,2,60,-13,47,-0.65,2.35,0.15,1.35,1.85,0.8,1.0,1.0,13,0,47,medium,event_near_recording_boundary,impact_plus_1s
falling_20260714_161320_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161320_20hz.csv,fall,3,4,60,27,87,1.35,4.35,2.85,3.35,3.85,1.5,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260714_161412_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161412_20hz.csv,fall,3,3,60,22,82,1.1,4.1,2.6,3.1,3.6,1.5,1.0,1.0,0,0,60,medium,multiple_or_broad_peaks,impact_plus_1s
